query,title,year,citations,journal,doi
Litopenaeus vannamei juvenile dietary protein requirement,"Study of the requirements of dietary cholesterol at two different growth stages of Pacific white shrimps, Litopenaeus vannamei",2019,36,Aquaculture International,https://doi.org/10.1007/s10499-019-00411-4
Litopenaeus vannamei juvenile dietary protein requirement,"Dietary tryptophan requirements of juvenile pacific white shrimp, Litopenaeus vannamei (Boone) reared in low-salinity water",2016,31,Aquaculture International,https://doi.org/10.1007/s10499-016-0098-6
Litopenaeus vannamei juvenile dietary protein requirement,Dietary lipid requirement of whiteleg shrimp <i>Litopenaeus vannamei</i> juveniles cultured in biofloc system,2019,32,Aquaculture Nutrition,https://doi.org/10.1111/anu.13021
Litopenaeus vannamei juvenile dietary protein requirement,"Investigation of the Effects of Salinity and Dietary Protein Level on Growth and Survival of Pacific White Shrimp, <i>Litopenaeus vannamei</i>",2007,46,Journal of the World Aquaculture Society,https://doi.org/10.1111/j.1749-7345.2007.00121.x
Litopenaeus vannamei juvenile dietary protein requirement,Dietary niacin requirement of Pacific white shrimp (Litopenaeus vannamei),2022,31,Aquaculture,https://doi.org/10.1016/j.aquaculture.2022.739169
Litopenaeus vannamei juvenile dietary protein requirement,"Quantitative dietary isoleucine requirement of juvenile Pacific white shrimp, Litopenaeus vannamei (Boone) reared in low-salinity water",2014,30,Aquaculture International,https://doi.org/10.1007/s10499-014-9761-y
Litopenaeus vannamei juvenile dietary protein requirement,Leucine promotes protein synthesis of juvenile white shrimp Litopenaeus vannamei through TOR signaling pathway,2022,30,Aquaculture,https://doi.org/10.1016/j.aquaculture.2022.739060
Fenneropenaeus chinensis protein requirement juvenile shrimp,Evaluating antimicrobial resistance in the global shrimp industry,2019,268,Reviews in Aquaculture,https://doi.org/10.1111/raq.12367
Fenneropenaeus chinensis protein requirement juvenile shrimp,Mineral nutrition in penaeid shrimp,2022,63,Reviews in Aquaculture,https://doi.org/10.1111/raq.12780
Fenneropenaeus chinensis protein requirement juvenile shrimp,"Harnessing the potentialities of probiotics, prebiotics, synbiotics, paraprobiotics, and postbiotics for shrimp farming",2022,96,Reviews in Aquaculture,https://doi.org/10.1111/raq.12659
Fenneropenaeus chinensis protein requirement juvenile shrimp,"Dietary organic zinc promotes growth, immune response and antioxidant capacity by modulating zinc signaling in juvenile Pacific white shrimp (Litopenaeus vannamei)",2021,36,Aquaculture Reports,https://doi.org/10.1016/j.aqrep.2021.100638
Fenneropenaeus chinensis protein requirement juvenile shrimp,Combined effect of exposure to ammonia and hypoxia on the blue shrimp Litopenaeus stylirostris survival and physiological response in relation to molt stage,2007,62,Aquaculture,https://doi.org/10.1016/j.aquaculture.2007.11.033
Fenneropenaeus chinensis protein requirement juvenile shrimp,"The influence of dietary arachidonic acid on the immune response and performance of Pacific whiteleg shrimp, Litopenaeus vannamei, at high stocking density",2011,58,Aquaculture Nutrition,https://doi.org/10.1111/j.1365-2095.2011.00892.x
Marsupenaeus japonicus kuruma shrimp protein requirement,Dietary arginine requirement of juvenile kuruma shrimp Marsupenaeus japonicus (Bate),2004,44,Aquaculture Research,https://doi.org/10.1111/j.1365-2109.2004.01075.x
Marsupenaeus japonicus kuruma shrimp protein requirement,"Dietary β-Hydroxy-β-Methylbutyrate Supplementation Affects Growth Performance, Digestion, TOR Pathway, and Muscle Quality in Kuruma Shrimp (Marsupenaeus japonicas) Fed a Low Protein Diet",2023,22,Aquaculture Nutrition,https://doi.org/10.1155/2023/9889533
Marsupenaeus japonicus kuruma shrimp protein requirement,"Harnessing the potentialities of probiotics, prebiotics, synbiotics, paraprobiotics, and postbiotics for shrimp farming",2022,96,Reviews in Aquaculture,https://doi.org/10.1111/raq.12659
Marsupenaeus japonicus kuruma shrimp protein requirement,Role of Nrf2-Keap1 signaling in the antioxidant defense response induced by low salinity in the kuruma shrimp (Marsupenaeus japonicus),2022,6,Aquaculture International,https://doi.org/10.1007/s10499-022-00941-4
Penaeus monodon juvenile protein requirement,The quantitative dietary protein requirements of Penaeus monodon juveniles in a controlled environment,1983,106,Aquaculture,https://doi.org/10.1016/0044-8486(83)90151-5
Penaeus monodon juvenile protein requirement,"Requirements of juvenile marine shrimp, Penaeus monodon (Fabricius) for lysine and arginine",1998,126,Aquaculture,https://doi.org/10.1016/s0044-8486(98)00179-3
Penaeus monodon juvenile protein requirement,Threonine requirement of juvenile marine shrimp Penaeus monodon,1997,69,Aquaculture,https://doi.org/10.1016/s0044-8486(96)01486-x
Penaeus monodon juvenile protein requirement,Methionine requirement of juvenile tiger shrimp Penaeus monodon Fabricius,1996,108,Aquaculture,https://doi.org/10.1016/0044-8486(96)01270-7
Penaeus monodon juvenile protein requirement,Carbohydrate requirements of Penaeus monodon (Fabricius) juveniles,1987,86,Aquaculture,https://doi.org/10.1016/0044-8486(87)90150-5
Penaeus monodon juvenile protein requirement,"Dietary inositol requirement for juvenile grass shrimp, Penaeus monodon",2004,54,Aquaculture,https://doi.org/10.1016/j.aquaculture.2004.01.013
Penaeus monodon juvenile protein requirement,"Effective supplementation of arginine in the diets of juvenile marine shrimp, Penaeus monodon",1992,38,Aquaculture,https://doi.org/10.1016/0044-8486(92)90320-k
Penaeus monodon juvenile protein requirement,"Valine requirement of postlarval tiger shrimp, Penaeus monodon Fabricius",1996,35,Aquaculture Nutrition,https://doi.org/10.1111/j.1365-2095.1996.tb00051.x
Penaeus monodon juvenile protein requirement,"Dietary folic acid requirement determined for grass shrimp, Penaeus monodon",2001,41,Aquaculture,https://doi.org/10.1016/s0044-8486(00)00598-6
Penaeus monodon juvenile protein requirement,Recent Advances in Nutrition of <i>Penaeus monodon</i>,1993,34,Journal of the World Aquaculture Society,https://doi.org/10.1111/j.1749-7345.1993.tb00012.x
Penaeus monodon juvenile protein requirement,"Dietary vitamin B6 requirement of grass shrimp, Penaeus monodon",2003,33,Aquaculture,https://doi.org/10.1016/s0044-8486(03)00304-1
Homarus americanus lobster juvenile protein requirement diet,A re-evaluation of the lecitihin and cholesterol requirements of juvenile lobster (Homarus americanus) using crab protein-based diets,1985,67,Aquaculture,https://doi.org/10.1016/0044-8486(85)90060-2
Homarus americanus lobster juvenile protein requirement diet,Review on the dietary effects of phospholipids in fish and crustacean larviculture,1997,360,Aquaculture,https://doi.org/10.1016/s0044-8486(97)00125-7
Homarus americanus lobster juvenile protein requirement diet,Recent advances and future directions in practical diet formulation and adoption in tropical Palinurid lobster aquaculture,2022,48,Reviews in Aquaculture,https://doi.org/10.1111/raq.12675
Homarus americanus lobster juvenile protein requirement diet,Farming different species in RAS in Nordic countries: Current status and future perspectives,2012,373,Aquacultural Engineering,https://doi.org/10.1016/j.aquaeng.2012.11.008
Homarus americanus lobster juvenile protein requirement diet,"Substitution of fish meal with plant protein sources and energy budget for white shrimp Litopenaeus vannamei (Boone, 1931)",2009,177,Aquaculture,https://doi.org/10.1016/j.aquaculture.2009.01.001
Homarus americanus lobster juvenile protein requirement diet,Comparative survival and growth performance of European lobster <i>Homarus gammarus</i> post‐larva reared on novel feeds,2019,17,Aquaculture Research,https://doi.org/10.1111/are.14351
Homarus americanus lobster juvenile protein requirement diet,Stocking density and shelter type for the optimal growth and survival of western rock lobster Panulirus cygnus (George),2006,49,Aquaculture,https://doi.org/10.1016/j.aquaculture.2006.05.057
Panulirus spiny lobster juvenile protein requirement diet,Effects of dietary mannan oligosaccharide supplementation on juvenile spiny lobster Panulirus homarus (Palinuridae),2014,33,Aquaculture,https://doi.org/10.1016/j.aquaculture.2014.05.013
Panulirus spiny lobster juvenile protein requirement diet,Do formulated feeds for juvenile Panulirus ornatus lobsters require dietary cholesterol supplementation?,2010,22,Aquaculture,https://doi.org/10.1016/j.aquaculture.2010.07.026
Panulirus spiny lobster juvenile protein requirement diet,"Bioenergetics of red spiny lobster Panulirus interruptus (Randall, 1840) juveniles fed with mollusc",2011,14,Aquaculture,https://doi.org/10.1016/j.aquaculture.2011.05.008
Panulirus spiny lobster juvenile protein requirement diet,Stocking density and shelter type for the optimal growth and survival of western rock lobster Panulirus cygnus (George),2006,49,Aquaculture,https://doi.org/10.1016/j.aquaculture.2006.05.057
Panulirus spiny lobster juvenile protein requirement diet,Recent advances and future directions in practical diet formulation and adoption in tropical Palinurid lobster aquaculture,2022,48,Reviews in Aquaculture,https://doi.org/10.1111/raq.12675
Panulirus spiny lobster juvenile protein requirement diet,Review on the dietary effects of phospholipids in fish and crustacean larviculture,1997,360,Aquaculture,https://doi.org/10.1016/s0044-8486(97)00125-7
Panulirus spiny lobster juvenile protein requirement diet,The dawn of closed‐cycle spiny lobster aquaculture,2022,3,Reviews in Aquaculture,https://doi.org/10.1111/raq.12728
Panulirus spiny lobster juvenile protein requirement diet,Barriers in European spiny lobster (<i>Palinurus elephas</i>) aquaculture: What we know so far?,2022,18,Reviews in Aquaculture,https://doi.org/10.1111/raq.12693
